id,rating,title,text,date,platform,theme
1,1,"KYC verification failed multiple times","Tried uploading my documents 5 times but KYC keeps failing. The app says document quality is poor but I'm using clear photos. Very frustrating experience.","2025-02-24","Android","kyc-onboarding"
2,2,"KYC process is broken","Been stuck in KYC verification for 3 days now. The app crashes every time I try to upload my PAN card. Customer support is not responding.","2025-02-26","iOS","kyc-onboarding"
3,1,"Can't complete onboarding","The verification process keeps rejecting my valid documents. No clear explanation of what's wrong. Waste of time.","2025-03-01","Android","kyc-onboarding"
4,3,"KYC took too long","Finally got verified after a week. The process should be faster. App interface during verification is confusing.","2025-03-05","iOS","kyc-onboarding"
5,1,"Document upload issues","App won't accept my Aadhaar card photos. Keeps saying invalid format even though it's JPG. Very annoying.","2025-03-08","Android","kyc-onboarding"
6,2,"KYC verification stuck","Submitted documents 2 days ago, still showing 'under verification'. No updates or communication from the team.","2025-03-12","iOS","kyc-onboarding"
7,1,"Face verification not working","The face recognition step in KYC keeps failing. Camera works fine in other apps but not here. Please fix this.","2025-03-15","Android","kyc-onboarding"
8,2,"Onboarding is confusing","Too many steps for KYC. The app doesn't explain what each document is for. New users will get confused.","2025-03-19","iOS","kyc-onboarding"
9,1,"KYC rejected without reason","My KYC was rejected but no specific reason given. Just says 'document verification failed'. How can I fix it?","2025-03-22","Android","kyc-onboarding"
10,1,"Payment failed","My monthly SIP payment failed due to technical issues. Now I have to pay manually. This defeats the purpose of SIP.","2025-02-02","Android","payments-sip"
11,2,"Payment gateway problems","Tried to add money to wallet but payment keeps failing. Multiple payment methods tried, none work. App needs urgent fixes.","2025-02-04","Android","payments-sip"
12,1,"Auto-debit not working","Set up auto-debit for SIP but it's not working. Have to manually invest every month. Very inconvenient.","2025-02-06","iOS","payments-sip"
13,3,"Payment delays","Payments take too long to process. Sometimes shows pending for hours before reflecting in the account.","2025-02-09","Android","payments-sip"
14,1,"Payment delays","Payments take too long to process. Sometimes shows pending for hours before reflecting in the account.","2025-02-11","Android","payments-sip"
15,2,"Payment delays","Payments take too long to process. Sometimes shows pending for hours before reflecting in the account.","2025-02-14","Android","payments-sip"
16,1,"Net banking issues","Net banking option for payments is not working properly. Redirects to bank page but doesn't come back to app.","2025-02-16","Android","payments-sip"
17,2,"Net banking issues","Net banking option for payments is not working properly. Redirects to bank page but doesn't come back to app.","2025-02-19","Android","payments-sip"
18,3,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-02-21","iOS","payments-sip"
19,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-02-25","iOS","payments-sip"
20,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-01","iOS","payments-sip"
21,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-05","iOS","payments-sip"
22,2,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-08","iOS","payments-sip"
23,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-12","iOS","payments-sip"
24,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-15","iOS","payments-sip"
25,2,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-19","iOS","payments-sip"
26,2,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-22","iOS","payments-sip"
27,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-26","iOS","payments-sip"
28,2,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-29","iOS","payments-sip"
29,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-31","iOS","payments-sip"
30,2,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-02","Android","payments-sip"
31,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-05","Android","payments-sip"
32,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-09","Android","payments-sip"
33,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-13","Android","payments-sip"
34,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-16","Android","payments-sip"
35,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-18","Android","payments-sip"
36,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-23","Android","payments-sip"
37,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-25","Android","payments-sip"
38,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-27","Android","payments-sip"
39,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-30","Android","payments-sip"
40,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-05-02","Android","payments-sip"
41,1,"No customer support","Can't reach customer support for withdrawal issues. No phone number, no email, no chat. Very poor support system.","2025-05-09","Android","support"
42,1,"Customer support unresponsive","Submitted support ticket 5 days ago, no response. Customer service is terrible. No phone support available.","2025-05-12","Android","support"
43,1,"Customer support unresponsive","Submitted support ticket 5 days ago, no response. Customer service is terrible. No phone support available.","2025-05-16","Android","support"
44,1,"Customer support unresponsive","Submitted support ticket 5 days ago, no response. Customer service is terrible. No phone support available.","2025-05-19","Android","support"
45,1,"Customer support unresponsive","Submitted support ticket 5 days ago, no response. Customer service is terrible. No phone support available.","2025-05-23","Android","support"
